node,year,ri_coverage,scenario,total_cases,outbreaks,vapp
100,5,65,pSIA,0,0,14.72445975
100,5,70,pSIA,0,0,15.8571105
100,5,75,pSIA,0,0,16.98976125
100,5,80,pSIA,0,0,18.122412
100,5,85,pSIA,0,0,19.25506275
100,5,90,pSIA,0,0,20.3877135
100,5,95,pSIA,0,0,21.52036425
1000,1,100,pSIA,0,0,28.32667891
1000,1,25,pSIA,0,0,7.852428297
1000,1,30,pSIA,1,1,9.934302817
1000,1,35,pSIA,1,1,11.17596685
1000,1,40,pSIA,0,0,11.94509078
1000,1,45,pSIA,0,0,13.30938622
1000,1,50,pSIA,0,0,14.67484703
1000,1,55,pSIA,0,0,16.03807112
1000,1,60,pSIA,0,0,17.40240723
1000,1,65,pSIA,0,0,18.76531734
1000,1,70,pSIA,0,0,20.13107305
1000,1,75,pSIA,0,0,21.49508917
1000,1,80,pSIA,0,0,22.85888865
1000,1,85,pSIA,0,0,24.22344775
1000,1,90,pSIA,0,0,25.58787341
1000,1,95,pSIA,0,0,26.95193303
1000,2,100,pSIA,0,0,33.98987248
1000,2,25,pSIA,0,0,9.268144377
1000,2,30,pSIA,20,2,11.798856
1000,2,35,pSIA,0,0,12.43728958
1000,2,40,pSIA,0,0,14.21049174
1000,2,45,pSIA,0,0,15.85734658
1000,2,50,pSIA,0,0,17.50507118
1000,2,55,pSIA,0,0,19.15291448
1000,2,60,pSIA,0,0,20.79992802
1000,2,65,pSIA,0,0,22.44760955
1000,2,70,pSIA,0,0,24.09492404
1000,2,75,pSIA,0,0,25.7424895
1000,2,80,pSIA,0,0,27.38987011
1000,2,85,pSIA,0,0,29.03768367
1000,2,90,pSIA,0,0,30.68508444
1000,2,95,pSIA,0,0,32.33218237
1000,3,100,pSIA,0,0,28.32667365
1000,3,25,pSIA,0,0,7.851513217
1000,3,30,pSIA,1,1,9.212475068
1000,3,35,pSIA,0,0,10.50063545
1000,3,40,pSIA,0,0,11.94409502
1000,3,45,pSIA,0,0,13.30892986
1000,3,50,pSIA,0,0,14.67377783
1000,3,55,pSIA,0,0,16.03785579
1000,3,60,pSIA,0,0,17.40364389
1000,3,65,pSIA,0,0,18.76705084
1000,3,70,pSIA,0,0,20.13023579
1000,3,75,pSIA,0,0,21.49492591
1000,3,80,pSIA,0,0,22.85899855
1000,3,85,pSIA,0,0,24.22366481
1000,3,90,pSIA,0,0,25.58820514
1000,3,95,pSIA,0,0,26.95215088
1000,4,100,pSIA,0,0,28.3266433
1000,4,25,pSIA,0,0,7.852091131
1000,4,30,pSIA,0,0,8.933702527
1000,4,35,pSIA,0,0,10.52876024
1000,4,40,pSIA,0,0,11.94474143
1000,4,45,pSIA,0,0,13.30911556
1000,4,50,pSIA,0,0,14.67405972
1000,4,55,pSIA,0,0,16.03716753
1000,4,60,pSIA,0,0,17.40181513
1000,4,65,pSIA,0,0,18.76534511
1000,4,70,pSIA,0,0,20.13000992
1000,4,75,pSIA,0,0,21.49507967
1000,4,80,pSIA,0,0,22.85973865
1000,4,85,pSIA,0,0,24.22365773
1000,4,90,pSIA,0,0,25.58746396
1000,4,95,pSIA,0,0,26.95227273
1000,5,100,pSIA,0,0,22.653015
1000,5,25,pSIA,2,0,5.66325375
1000,5,30,pSIA,0,0,6.7959045
1000,5,35,pSIA,0,0,7.928555249
1000,5,40,pSIA,0,0,9.061205999
1000,5,45,pSIA,0,0,10.19385675
1000,5,50,pSIA,0,0,11.3265075
1000,5,55,pSIA,0,0,12.45915825
1000,5,60,pSIA,0,0,13.591809
1000,5,65,pSIA,0,0,14.72445975
1000,5,70,pSIA,0,0,15.8571105
1000,5,75,pSIA,0,0,16.98976125
1000,5,80,pSIA,0,0,18.122412
1000,5,85,pSIA,0,0,19.25506275
1000,5,90,pSIA,0,0,20.3877135
1000,5,95,pSIA,0,0,21.52036425
101,1,100,pSIA,0,0,28.3266459
101,1,25,pSIA,15,4,9.928571992
101,1,30,pSIA,0,0,9.214577423
101,1,35,pSIA,0,0,10.58096417
101,1,40,pSIA,0,0,11.94508233
101,1,45,pSIA,0,0,13.30965021
101,1,50,pSIA,0,0,14.67307334
101,1,55,pSIA,0,0,16.03815143
101,1,60,pSIA,0,0,17.4021914
101,1,65,pSIA,0,0,18.76667237
101,1,70,pSIA,0,0,20.13147
101,1,75,pSIA,0,0,21.4945784
101,1,80,pSIA,0,0,22.85946337
101,1,85,pSIA,0,0,24.22373202
101,1,90,pSIA,0,0,25.58806279
101,1,95,pSIA,0,0,26.952246
101,2,100,pSIA,0,0,33.98991616
101,2,25,pSIA,0,0,8.822197476
101,2,30,pSIA,0,0,10.91626398
101,2,35,pSIA,0,0,12.56266786
101,2,40,pSIA,0,0,14.2106298
101,2,45,pSIA,0,0,15.85823465
101,2,50,pSIA,0,0,17.505338
101,2,55,pSIA,0,0,19.15301414
101,2,60,pSIA,0,0,20.80047722
101,2,65,pSIA,0,0,22.44767103
101,2,70,pSIA,0,0,24.09567221
101,2,75,pSIA,0,0,25.74199508
101,2,80,pSIA,0,0,27.39010842
101,2,85,pSIA,0,0,29.03722876
101,2,90,pSIA,0,0,30.68544428
101,2,95,pSIA,0,0,32.33260292
101,3,100,pSIA,0,0,28.32644773
101,3,25,pSIA,0,0,7.566379283
101,3,30,pSIA,1,1,9.932686161
101,3,35,pSIA,0,0,10.58007239
101,3,40,pSIA,0,0,11.94491319
101,3,45,pSIA,0,0,13.30959642
101,3,50,pSIA,0,0,14.67298279
101,3,55,pSIA,0,0,16.03783466
101,3,60,pSIA,0,0,17.40183687
101,3,65,pSIA,0,0,18.76567309
101,3,70,pSIA,0,0,20.130563
101,3,75,pSIA,0,0,21.49427385
101,3,80,pSIA,0,0,22.85895382
101,3,85,pSIA,0,0,24.22305148
101,3,90,pSIA,0,0,25.58812646
101,3,95,pSIA,0,0,26.95200842
101,4,100,pSIA,0,0,28.32652416
101,4,25,pSIA,1,1,8.217572389
101,4,30,pSIA,2,2,9.933871701
101,4,35,pSIA,0,0,10.580486
101,4,40,pSIA,0,0,11.94596848
101,4,45,pSIA,0,0,13.30929686
101,4,50,pSIA,0,0,14.67374632
101,4,55,pSIA,0,0,16.03919217
101,4,60,pSIA,0,0,17.40169864
101,4,65,pSIA,0,0,18.7655038
101,4,70,pSIA,0,0,20.13051645
101,4,75,pSIA,0,0,21.49554532
101,4,80,pSIA,0,0,22.85918113
101,4,85,pSIA,0,0,24.22415699
101,4,90,pSIA,0,0,25.58804335
101,4,95,pSIA,0,0,26.95163469
101,5,100,pSIA,0,0,22.653015
101,5,25,pSIA,0,0,5.66325375
101,5,30,pSIA,0,0,6.7959045
101,5,35,pSIA,0,0,7.928555249
101,5,40,pSIA,0,0,9.061205999
101,5,45,pSIA,0,0,10.19385675
101,5,50,pSIA,0,0,11.3265075
101,5,55,pSIA,0,0,12.45915825
101,5,60,pSIA,0,0,13.591809
101,5,65,pSIA,0,0,14.72445975
101,5,70,pSIA,0,0,15.8571105
101,5,75,pSIA,0,0,16.98976125
101,5,80,pSIA,0,0,18.122412
101,5,85,pSIA,0,0,19.25506275
101,5,90,pSIA,0,0,20.3877135
101,5,95,pSIA,0,0,21.52036425
102,1,100,pSIA,0,0,28.32663245
102,1,25,pSIA,53,3,9.609915972
102,1,30,pSIA,0,0,9.216646693
102,1,35,pSIA,0,0,10.58031212
102,1,40,pSIA,0,0,11.94602897
102,1,45,pSIA,0,0,13.31042412
102,1,50,pSIA,0,0,14.67475474
102,1,55,pSIA,0,0,16.03788242
102,1,60,pSIA,0,0,17.40170366
102,1,65,pSIA,0,0,18.7669636
102,1,70,pSIA,0,0,20.13130071
102,1,75,pSIA,0,0,21.49430386
102,1,80,pSIA,0,0,22.85851514
102,1,85,pSIA,0,0,24.22312599
102,1,90,pSIA,0,0,25.58783943
102,1,95,pSIA,0,0,26.95184152
102,2,100,pSIA,0,0,33.98996492
102,2,25,pSIA,1,0,8.879370083
102,2,30,pSIA,0,0,10.91606994
102,2,35,pSIA,0,0,12.56189666
102,2,40,pSIA,0,0,14.20984994
102,2,45,pSIA,0,0,15.85685731
102,2,50,pSIA,0,0,17.50402477
102,2,55,pSIA,0,0,19.15269083
102,2,60,pSIA,0,0,20.80090061
102,2,65,pSIA,0,0,22.44735763
102,2,70,pSIA,0,0,24.09406879
102,2,75,pSIA,0,0,25.7430126
102,2,80,pSIA,0,0,27.38992442
102,2,85,pSIA,0,0,29.03737036
102,2,90,pSIA,0,0,30.68438515
102,2,95,pSIA,0,0,32.33233432
102,3,100,pSIA,0,0,28.32644341
102,3,25,pSIA,0,0,7.602578118
102,3,30,pSIA,1,0,9.216701774
102,3,35,pSIA,0,0,10.58212781
102,3,40,pSIA,0,0,11.94527358
102,3,45,pSIA,0,0,13.30956806
102,3,50,pSIA,0,0,14.6739161
102,3,55,pSIA,0,0,16.03870735
102,3,60,pSIA,0,0,17.40234306
102,3,65,pSIA,0,0,18.76682042
102,3,70,pSIA,0,0,20.12998805
102,3,75,pSIA,0,0,21.49491407
102,3,80,pSIA,0,0,22.85896408
102,3,85,pSIA,0,0,24.22299566
102,3,90,pSIA,0,0,25.58821491
102,3,95,pSIA,0,0,26.95185041
102,4,100,pSIA,0,0,28.32658235
102,4,25,pSIA,0,0,7.692376324
102,4,30,pSIA,0,0,9.214474744
102,4,35,pSIA,0,0,10.5798769
102,4,40,pSIA,0,0,11.94392868
102,4,45,pSIA,0,0,13.30905573
102,4,50,pSIA,0,0,14.67280699
102,4,55,pSIA,0,0,16.03770695
102,4,60,pSIA,0,0,17.40181199
102,4,65,pSIA,0,0,18.76606288
102,4,70,pSIA,0,0,20.13004435
102,4,75,pSIA,0,0,21.49546867
102,4,80,pSIA,0,0,22.85907622
102,4,85,pSIA,0,0,24.22343376
102,4,90,pSIA,0,0,25.58800355
102,4,95,pSIA,0,0,26.95195453
102,5,100,pSIA,0,0,22.653015
102,5,25,pSIA,0,0,5.66325375
102,5,30,pSIA,0,0,6.7959045
102,5,35,pSIA,0,0,7.928555249
102,5,40,pSIA,0,0,9.061205999
102,5,45,pSIA,0,0,10.19385675
102,5,50,pSIA,0,0,11.3265075
102,5,55,pSIA,0,0,12.45915825
102,5,60,pSIA,0,0,13.591809
102,5,65,pSIA,0,0,14.72445975
102,5,70,pSIA,0,0,15.8571105
102,5,75,pSIA,0,0,16.98976125
102,5,80,pSIA,0,0,18.122412
102,5,85,pSIA,0,0,19.25506275
102,5,90,pSIA,0,0,20.3877135
102,5,95,pSIA,0,0,21.52036425
103,1,100,pSIA,0,0,28.32643177
103,1,25,pSIA,0,0,7.852017011
103,1,30,pSIA,2,2,10.36815677
103,1,35,pSIA,0,0,10.58125032
103,1,40,pSIA,0,0,11.9448081
103,1,45,pSIA,0,0,13.30828118
103,1,50,pSIA,0,0,14.67288456
103,1,55,pSIA,0,0,16.03771449
