node,year,ri_coverage,scenario,total_cases,outbreaks,vapp
100,5,60,oSIA,0,0,13.591809
100,5,65,oSIA,0,0,14.72445975
100,5,70,oSIA,0,0,15.8571105
100,5,75,oSIA,0,0,16.98976125
100,5,80,oSIA,0,0,18.122412
100,5,85,oSIA,0,0,19.25506275
100,5,90,oSIA,0,0,20.3877135
100,5,95,oSIA,0,0,21.52036425
1000,1,100,oSIA,0,0,22.653015
1000,1,25,oSIA,19251,3,8.323068288
1000,1,30,oSIA,18963,3,8.925842023
1000,1,35,oSIA,19338,3,9.097903169
1000,1,40,oSIA,12647,4,11.58208194
1000,1,45,oSIA,9386,4,12.79027792
1000,1,50,oSIA,4145,2,13.10880733
1000,1,55,oSIA,27,2,14.23627643
1000,1,60,oSIA,0,0,13.591809
1000,1,65,oSIA,0,0,14.72445975
1000,1,70,oSIA,0,0,15.8571105
1000,1,75,oSIA,0,0,16.98976125
1000,1,80,oSIA,0,0,18.122412
1000,1,85,oSIA,0,0,19.25506275
1000,1,90,oSIA,0,0,20.3877135
1000,1,95,oSIA,0,0,21.52036425
1000,2,100,oSIA,0,0,22.653015
1000,2,25,oSIA,6,1,5.952855838
1000,2,30,oSIA,0,0,6.7959045
1000,2,35,oSIA,0,0,7.928555249
1000,2,40,oSIA,0,0,9.061205999
1000,2,45,oSIA,0,0,10.19385675
1000,2,50,oSIA,2014,3,12.48360204
1000,2,55,oSIA,63,3,13.97594801
1000,2,60,oSIA,0,0,13.591809
1000,2,65,oSIA,0,0,14.72445975
1000,2,70,oSIA,0,0,15.8571105
1000,2,75,oSIA,0,0,16.98976125
1000,2,80,oSIA,0,0,18.122412
1000,2,85,oSIA,0,0,19.25506275
1000,2,90,oSIA,0,0,20.3877135
1000,2,95,oSIA,0,0,21.52036425
1000,3,100,oSIA,0,0,22.653015
1000,3,25,oSIA,0,0,5.66325375
1000,3,30,oSIA,0,0,6.7959045
1000,3,35,oSIA,0,0,7.928555249
1000,3,40,oSIA,0,0,9.061205999
1000,3,45,oSIA,0,0,10.19385675
1000,3,50,oSIA,0,0,11.3265075
1000,3,55,oSIA,1,1,12.83124602
1000,3,60,oSIA,0,0,13.591809
1000,3,65,oSIA,0,0,14.72445975
1000,3,70,oSIA,0,0,15.8571105
1000,3,75,oSIA,0,0,16.98976125
1000,3,80,oSIA,0,0,18.122412
1000,3,85,oSIA,0,0,19.25506275
1000,3,90,oSIA,0,0,20.3877135
1000,3,95,oSIA,0,0,21.52036425
1000,4,100,oSIA,0,0,22.653015
1000,4,25,oSIA,0,0,5.66325375
1000,4,30,oSIA,0,0,6.7959045
1000,4,35,oSIA,0,0,7.928555249
1000,4,40,oSIA,0,0,9.061205999
1000,4,45,oSIA,0,0,10.19385675
1000,4,50,oSIA,0,0,11.3265075
1000,4,55,oSIA,0,0,12.45915825
1000,4,60,oSIA,0,0,13.591809
1000,4,65,oSIA,0,0,14.72445975
1000,4,70,oSIA,1,1,16.52505383
1000,4,75,oSIA,0,0,16.98976125
1000,4,80,oSIA,0,0,18.122412
1000,4,85,oSIA,0,0,19.25506275
1000,4,90,oSIA,0,0,20.3877135
1000,4,95,oSIA,0,0,21.52036425
1000,5,100,oSIA,0,0,22.653015
1000,5,25,oSIA,0,0,5.66325375
1000,5,30,oSIA,0,0,6.7959045
1000,5,35,oSIA,0,0,7.928555249
1000,5,40,oSIA,0,0,9.061205999
1000,5,45,oSIA,0,0,10.19385675
1000,5,50,oSIA,0,0,11.3265075
1000,5,55,oSIA,0,0,12.45915825
1000,5,60,oSIA,0,0,13.591809
1000,5,65,oSIA,1,0,14.72445975
1000,5,70,oSIA,0,0,15.8571105
1000,5,75,oSIA,0,0,16.98976125
1000,5,80,oSIA,0,0,18.122412
1000,5,85,oSIA,0,0,19.25506275
1000,5,90,oSIA,0,0,20.3877135
1000,5,95,oSIA,0,0,21.52036425
101,1,100,oSIA,0,0,22.653015
101,1,25,oSIA,20369,2,7.647022841
101,1,30,oSIA,18106,2,8.701804264
101,1,35,oSIA,10682,2,10.03409023
101,1,40,oSIA,13208,4,11.49600506
101,1,45,oSIA,281,2,12.35710234
101,1,50,oSIA,0,0,11.3265075
101,1,55,oSIA,0,0,12.45915825
101,1,60,oSIA,0,0,13.591809
101,1,65,oSIA,0,0,14.72445975
101,1,70,oSIA,0,0,15.8571105
101,1,75,oSIA,0,0,16.98976125
101,1,80,oSIA,0,0,18.122412
101,1,85,oSIA,0,0,19.25506275
101,1,90,oSIA,0,0,20.3877135
101,1,95,oSIA,0,0,21.52036425
101,2,100,oSIA,0,0,22.653015
101,2,25,oSIA,367,2,6.229933936
101,2,30,oSIA,432,1,7.097426936
101,2,35,oSIA,3756,2,8.585575054
101,2,40,oSIA,0,0,9.061205999
101,2,45,oSIA,4847,4,11.93967327
101,2,50,oSIA,257,2,13.29310272
101,2,55,oSIA,2,2,14.2393533
101,2,60,oSIA,0,0,13.591809
101,2,65,oSIA,0,0,14.72445975
101,2,70,oSIA,0,0,15.8571105
101,2,75,oSIA,0,0,16.98976125
101,2,80,oSIA,0,0,18.122412
101,2,85,oSIA,0,0,19.25506275
101,2,90,oSIA,0,0,20.3877135
101,2,95,oSIA,0,0,21.52036425
101,3,100,oSIA,0,0,22.653015
101,3,25,oSIA,0,0,5.66325375
101,3,30,oSIA,0,0,6.7959045
101,3,35,oSIA,0,0,7.928555249
101,3,40,oSIA,0,0,9.061205999
101,3,45,oSIA,0,0,10.19385675
101,3,50,oSIA,3429,4,13.1084301
101,3,55,oSIA,0,0,12.45915825
101,3,60,oSIA,0,0,13.591809
101,3,65,oSIA,0,0,14.72445975
101,3,70,oSIA,0,0,15.8571105
101,3,75,oSIA,0,0,16.98976125
101,3,80,oSIA,0,0,18.122412
101,3,85,oSIA,0,0,19.25506275
101,3,90,oSIA,0,0,20.3877135
101,3,95,oSIA,0,0,21.52036425
101,4,100,oSIA,0,0,22.653015
101,4,25,oSIA,0,0,5.66325375
101,4,30,oSIA,1,1,7.544180635
101,4,35,oSIA,0,0,7.928555249
101,4,40,oSIA,0,0,9.061205999
101,4,45,oSIA,0,0,10.19385675
101,4,50,oSIA,1,1,11.61005947
101,4,55,oSIA,0,0,12.45915825
101,4,60,oSIA,0,0,13.591809
101,4,65,oSIA,0,0,14.72445975
101,4,70,oSIA,0,0,15.8571105
101,4,75,oSIA,0,0,16.98976125
101,4,80,oSIA,0,0,18.122412
101,4,85,oSIA,1,1,19.58896053
